0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
4.0,100000.0,8.0,10.0,80.0,89.0,73.0,100000.0,58.0,34.0,10.0,100000.0,37.0,56.0,0.0,79.0,78.0,36.0,11.0,100000.0,100000.0,15.0,92.0,100000.0,13.0,44.0,100000.0,65.0,29.0,100000.0,100000.0,57.0
27.0,73.0,28.0,26.0,34.0,27.0,74.0,52.0,30.0,7.0,83.0,65.0,65.0,67.0,79.0,0.0,90.0,53.0,19.0,9.0,85.0,36.0,100000.0,11.0,100000.0,73.0,82.0,35.0,99.0,100000.0,100000.0,93.0
65.0,48.0,83.0,16.0,64.0,80.0,85.0,100000.0,41.0,100000.0,100000.0,90.0,26.0,57.0,78.0,90.0,0.0,84.0,90.0,94.0,28.0,29.0,38.0,12.0,22.0,57.0,100000.0,6.0,90.0,77.0,57.0,21.0
84.0,32.0,4.0,38.0,100000.0,73.0,8.0,100000.0,17.0,36.0,32.0,29.0,52.0,38.0,36.0,53.0,84.0,0.0,61.0,22.0,46.0,99.0,51.0,62.0,21.0,77.0,5.0,100000.0,27.0,64.0,46.0,59.0
92.0,66.0,41.0,49.0,92.0,19.0,62.0,46.0,94.0,100000.0,27.0,82.0,91.0,100000.0,11.0,19.0,90.0,61.0,0.0,76.0,33.0,46.0,41.0,18.0,20.0,86.0,59.0,21.0,27.0,100000.0,7.0,33.0
85.0,97.0,67.0,36.0,100000.0,30.0,33.0,100000.0,12.0,16.0,76.0,12.0,41.0,30.0,100000.0,9.0,94.0,22.0,76.0,0.0,12.0,79.0,65.0,71.0,100000.0,82.0,100000.0,100000.0,58.0,94.0,33.0,53.0
92.0,90.0,24.0,15.0,49.0,88.0,38.0,49.0,31.0,100000.0,20.0,36.0,44.0,86.0,100000.0,85.0,28.0,46.0,33.0,12.0,0.0,88.0,100000.0,20.0,4.0,94.0,24.0,100000.0,38.0,88.0,29.0,45.0
45.0,93.0,69.0,100000.0,16.0,7.0,5.0,54.0,100000.0,53.0,100000.0,3.0,1.0,100000.0,15.0,36.0,29.0,99.0,46.0,79.0,88.0,0.0,63.0,48.0,76.0,100000.0,51.0,42.0,52.0,73.0,32.0,85.0
98.0,71.0,24.0,14.0,27.0,20.0,96.0,30.0,100000.0,73.0,24.0,28.0,61.0,34.0,92.0,100000.0,38.0,51.0,41.0,65.0,100000.0,63.0,0.0,100000.0,51.0,99.0,42.0,29.0,58.0,100000.0,96.0,100000.0
37.0,27.0,33.0,68.0,34.0,100000.0,40.0,63.0,96.0,100000.0,17.0,100000.0,90.0,53.0,100000.0,11.0,12.0,62.0,18.0,71.0,20.0,48.0,100000.0,0.0,46.0,100000.0,97.0,57.0,16.0,86.0,53.0,8.0
42.0,95.0,64.0,97.0,86.0,26.0,10.0,51.0,100000.0,56.0,21.0,48.0,67.0,100000.0,13.0,100000.0,22.0,21.0,20.0,100000.0,4.0,76.0,51.0,46.0,0.0,54.0,91.0,71.0,11.0,75.0,100000.0,24.0
16.0,66.0,56.0,26.0,100000.0,70.0,61.0,100000.0,42.0,60.0,46.0,70.0,29.0,74.0,44.0,73.0,57.0,77.0,86.0,82.0,94.0,100000.0,99.0,100000.0,54.0,0.0,83.0,89.0,99.0,38.0,78.0,66.0
100000.0,32.0,48.0,61.0,63.0,61.0,85.0,100000.0,80.0,88.0,41.0,97.0,52.0,40.0,100000.0,82.0,100000.0,5.0,59.0,100000.0,24.0,51.0,42.0,97.0,91.0,83.0,0.0,84.0,15.0,71.0,100000.0,65.0
95.0,87.0,100000.0,21.0,69.0,37.0,81.0,9.0,89.0,61.0,51.0,100000.0,43.0,53.0,65.0,35.0,6.0,100000.0,21.0,100000.0,100000.0,42.0,29.0,57.0,71.0,89.0,84.0,0.0,56.0,58.0,66.0,8.0
94.0,2.0,34.0,22.0,4.0,100000.0,62.0,100000.0,80.0,40.0,100000.0,80.0,76.0,100000.0,29.0,99.0,90.0,27.0,27.0,58.0,38.0,52.0,58.0,16.0,11.0,99.0,15.0,56.0,0.0,24.0,21.0,100000.0
100000.0,30.0,16.0,17.0,25.0,58.0,7.0,100000.0,74.0,85.0,32.0,100000.0,3.0,100000.0,100000.0,100000.0,77.0,64.0,100000.0,94.0,88.0,73.0,100000.0,86.0,75.0,38.0,71.0,58.0,24.0,0.0,29.0,27.0
25.0,49.0,49.0,59.0,100000.0,54.0,1.0,100000.0,100000.0,38.0,27.0,100000.0,100000.0,15.0,100000.0,100000.0,57.0,46.0,7.0,33.0,29.0,32.0,96.0,53.0,100000.0,78.0,100000.0,66.0,21.0,29.0,0.0,92.0
82.0,93.0,74.0,82.0,45.0,76.0,100000.0,37.0,77.0,100000.0,40.0,64.0,12.0,70.0,57.0,93.0,21.0,59.0,33.0,53.0,45.0,85.0,100000.0,8.0,24.0,66.0,65.0,8.0,100000.0,27.0,92.0,0.0
